created_at,screen_name,text;;;;;;;;
"2018-11-01,Shahrul Akmal S,""A great area for shoppers. Souvenirs and trinket a plenty. There are tickshws and horse driven carts. Prices are very cheap but have to bargain. The shopkeepers are friendly and reasonable.""";;;;;;;;
"2018-10-01,palinda,""Ideal place to enjoy shopping if you are interested. Batiks and souverniers mostly. Shops with fixed prices offer good quality ones. Stalls have good ones too if you have an eye to it and they get you to bargain for crazy cheap prices even if you don't want to. Good people""";;;;;;;;
"2018-09-01,Hans Ambon,""Verry nice street specialy in the evening you can eat everything outside..everybody is sitting on the ground ona carpet""";;;;;;;;
"2018-10-01,NazaSidek,""One of the famous street at Jogjakarta. Few hotels nearby. Shopping area. Lively from evening to midnight. Famous for many types and manufactured of batiks. Shop for ole-ole (souvenir).""";;;;;;;;
"2018-10-01,Hui Xian,""This is the shopping place in Jogja. Many types of batik is here with adorable price. It sells many souvenirs batik etc.""";;;;;;;;
"2018-10-01,Tony P,""A great street full of local life and colour. Nobody could regret spending time walking along this busy shopping street even if you have absolutely no intention to buy anything the chances are you'll find something that tempts an opening of your wallet or purse to bag a""";;;;;;;;
"2018-09-01,tehahrahim,""I love walking in Malioboro street at night! Yes the city is alway busyyyy and you can see car non stop cross the road.   But for me this area is safe when you want to walk alone. But please be extra careful about your phone/wallet. I enjoyed night view so much. Looking""";;;;;;;;
"2018-07-01,Isti A,""Love this place. Best place for cheap shopping and yummy street foods. Footpath are very comfortable for walking   you can access public secure buses and pay $3 that will take you anywhere in Yogyakarta but if you are in hurry taxi or grab will be the best option.""";;;;;;;;
"2018-09-01,nork210,""evening time is shopping area and at night change to marvelous street food. the road never sleep. try it.""";;;;;;;;
"2018-09-01,armani123sg,""Prices here are real cheap but most people are selling the same things. Some stores can be a tad expensive though like certain food souvenir stalls. But overall great experience.""";;;;;;;;
"2018-08-01,egina yulianti,""Its located in the heart of jogja. It close to keraton kesultanan yogyakarta. And if u visit yogya you have to visit this place""";;;;;;;;
"2018-08-01,Ivo,""Street you cannot miss if you are in Yogya. The amount of stalls and items sold here are truly unbelievable. There are so many clothes in huge piles of plastic wrappings.   It?s very busy and huge. At night it as at least as busy.""";;;;;;;;
"2018-06-01,annychalderon,""Always love this road each time go to Yogyakarta.  When you walk down the street there so many sellers that offer the souvenirs t-shirt bags from batik etc. We can go around all long the road by becak or horse.  At the evening we can find spÇcial food like nasi kucing or gudeg.""";;;;;;;;
"2018-08-01,Alicia Molina,""So much fun! Colorful special you can begin you bargain lessons and have fun! I bought a fabulous hat batik nice coffee and fruits.""";;;;;;;;
"2018-07-01,6putrah,""meet friendly people in every street..will be coming back again to this lovely town..malioboro daebakk""";;;;;;;;
"2018-07-01,Gt. Reynaldie,""Whenever you travel to Yogyakarta this road or area is a must to be visited. You can almost find everything in Malioboro. It is recommended for you to do sightseeing and shopping in the morning or afternoon and enjoy some culinary adventure in the evening.""";;;;;;;;
"2018-07-01,Tia S,""Malioboro is one of the icon of Yogyakarta. Being in Malioboro is a must. Last time I came here we eat RONDE - it taste sooo good I love the ginger soup and the filling of ronde was so different from what I used to eat. I also tried SOTO AYAM 61 .. its delicious!! Couldnt find""";;;;;;;;
"2018-07-01,Johan Kinoshita,""Malioboro is an iconic road. The place is connected with train station. You can find a lot variety of foods from traditional street food (angkringan) Charcoal Coffee (Kopi Joss) where they put Hot Charcoal directly to your coffee & souvenirs. This place is really crowded and""";;;;;;;;
"2018-07-01,Ninitnurullitaa,""The one and only the jogjakarta romantic street  money people doing and activity in the malioboro street"""; @Oracle Created Oracle That Allows Protecting #Crypto Platforms READ ARTICLE ???? https://t.co/lojHgzpLeC #cryptocurrency #cryptotwitter #cryptonews #cryptocurrencies #defi #cryptocurrencynews #blockchain #cryptomarket #DigitalCurrency #cryptomarketnews #CyberSecurity https://t.co/vaKr9pa7w2;;;;;;;
"2018-07-01,Minni G,""Malioboro is a street of Romance which symbolizes the city of Yogyakarta the people there are very nice""";;;;;;;;
"2018-07-01,Anna_June_2011,""A shopping spree with a bargaining power needed badly here. Use your ability to choose the good stuffs and bargain it start with half price of it!""";;;;;;;;
"2018-05-01,sandpiperandmolly,""A little of this and a little of that. Great ice cream shops restaurants bars. Fun and friendly servers and anyone I encountered while walking around. Many guesthouses too.""";;;;;;;;
"2018-06-01,herfinap,""I suggest u to stay nights in the hotel near Malioboro so u can visit this road anytime u want. So many street foods and cloth seller along this road also there re some places such as Benteng vanderberg Beringharjo Market Malioboro Mall etc. Must visit road in Indonesia and""";;;;;;;;
"2018-06-01,Darwinites,""Being westerners we had people coming up to us to speak English.  We were told to go to the student art market and it was good. We learnt about the batik paintings and had opportunity to buy some. Nice place to get some cheap souvineers.""";;;;;;;;
"2018-06-01,Micheal H,""So many different shops and items to look at. I recommend going earlier in the morning as it gets crowded an if your not used to the climate in Yogyakarta it begins to get hot near mid day. Very interesting to see all the handmade goods. Great prices on many things also.""";;;;;;;;
"2018-05-01,Retno W,""Who does not know Malioboro? If you go to Yogya but have never walked to Malioboro means that you have not been to Yogya. One of the places that must be visited this street contains a variety of shops that offer batik and souvenirs typical Yogya and at night many attractions""";;;;;;;;
"2018-05-01,Hui Xian,""This is a shopping place in Jogja especially for you Batik Lovers. Many batik there with cheap price many type of batik special tshirt from Jogja and also many souvenirs."""; un hilo que no sabias que necesitabas https://t.co/LyqebFYyTQ;;;;;;;
"2018-05-01,Flyer673238,""Oxxen Bar off Malioboro Rd Great fun place - live tunes down a side alleyCold beer share tables  Malioboro Rd has cool art street food graffiti""";;;;;;;;
"2018-05-01,MsKelo,""You can really find everything in here. The street itself is bursting with vendors and you can hackle yourself great beachwear and not too serious jewellery and bags and so on. There are also some hidden gems amongst the real shops. Beautiful and original designs instead the""";;;;;;;;
"2018-04-01,Tony A,""Every time we visit Jogja I make sure that we have a couple of days and nights to visit Jalan Malioboro. The street is a wonder! Vibrant colourful and overflowing with great bargains. Every time we vivit we buy Christmas gifts for all of the children in our Pencak Silat club""";;;;;;;;
"2018-05-01,Paul v,""Cool place. Always crowded with locals. Lot of hawkers if you wanna try some new.  Lot of people never seen european's before. Kind of funny""";;;;;;;;
"2018-04-01,Reksita W,""Shopping (batik vintage accessories etc) culinary and live music. There are many activities you can do at Jalan Malioboro.""";;;;;;;;
"2018-03-01,Idzham,""Very lovely street with lots of people because i stayed here during 'hari liburan' which is people from all over Central Java coming to this city at the time and make the street so lively. There is so much people selling lots of stuff mainly handicrafts kind of thing and i'm""";;;;;;;;
"2018-03-01,zsyahira,""If you want to Yogyakarta this area is highly recommended to buy souvenirs such as handcraft and shirts. Anyway always fun down Malioboro road.""";;;;;;;;
"2018-03-01,Umi Rukailah Safari,""It is  best to stroll around window shopping. You may want to try lumpia at the corner of Hotel Mutiara. And drink Ronde at the corner of  Malioboro Mall. To get good stuff of souvenirs is Hamzah Batik at the end of the Malioboro street across Pasar Bringharjo is the best place""";;;;;;;;
"2018-02-01,jendela79,""We came here for the atmosphere and the shopping.  The people are all so lovely and there are so many places to stop when you need a break from the hustle and bustle. Souvenirs were plentiful just shop around before you buy.  Sometimes the shops had things cheaper than on the""";;;;;;;;
"2018-03-01,bernie47801,""I love Malioboro for all that it offers. You can stroll from one end to the other or use horse or pedal powered transport from a bygone era. Museums shopping complexes and a small Chinatown area can be found. My favourite batik store is a must visit location every time I come""";;;;;;;;
"2018-03-01,Anita Cicilia,""This is not the first time that I came to yogyakarta. Malioboro always become a choice to come at night the crowd the food batik and all of the authentic they have really represented authentic city of jogya. I wish that malioboro road can be more clean and always be better""";;;;;;;;
"2018-03-01,Yosephine Y,""This is a well-known street in Jogja. It's very famous that everyone always visit it everytime they go to Jogja. Along the street there are so many ""Angkringan"" (they sell various food) people sell merchandise of jogja and there is malioboro mall in this street. On weekend u""";;;;;;;;
"2018-03-01,titi4547,""it's a really long street with a lot of small shops a lot of clothes food small useless stuffs. it's really nice to walk there slowly have a look around talk with people.""";;;;;;;;
"2017-01-01,adha_1979,""I like this place a lot really. Moreover I love batik so that's why I like it to be here. I have so many batik clothes from Malioboro with affordable price. And I can find traditional food especially gudeg and others. Friendly people and street shop you can also one of""";;;;;;;;
"2017-04-01,fatimaayoe,""years known as one of famous main road in jogya only about 10 minutes by becak traditional ride fm train station its famous with many shops of handicarfts traditional cloths along the road also manytraditional famous  street food sale like jack fruits curry or gudeg ..u not""";;;;;;;;
"2018-03-01,Elisabeth S,""Its a shopping paradise. So many little shops but most of them sell actually the same stuff. You have to bargain a lot -  and I mean really a lot because they charge you more than double the price. visit the pasar close to malioboro road!""";;;;;;;;
"2018-02-01,patrishiela,""I really love to came here if I?m in Yogyakarta. There?s so much batik talls with cheap price but my favorite place to shop batik are Beringharjo Market in the morning and Hamzah Batik in the night.""";;;;;;;;
"2017-11-01,Rohliana L,""Malioboro is the place that you should! Visit when you are traveling in yogyakarta. I prefer better visit it on evening so you can see every angklung bands. Angklung is traditional indonesian musik.""";;;;;;;;
